str_district,imm_child_age_months,enc_age_band,enc_child_sex,imm_birth_order,imm_birth_interval,imm_first_born,imm_short_interval,imm_high_birth_order,enc_size_at_birth,enc_had_diarrhea,und_maternal_age,und_maternal_edu_years,enc_edu_level,und_maternal_weight_kg,und_maternal_height_cm,und_maternal_bmi,und_low_bmi,und_maternal_stunted,und_total_children,und_household_size,enc_wealth_index,enc_residence,enc_region,enc_district,enc_religion,district_stunting_rate,district_mean_age,district_mean_wealth,district_mean_mat_height,stunting_rate,cluster,cluster_label
machinga,0.04236340084371018,0.02834502064575575,0.007810733028017144,0.004705254315599853,0.019003903714531898,0.005820593873957054,0.0008703701807068844,0.00113922886861744,0.009128819165783125,0.003858154688970158,0.012550495221436898,0.015523551779542349,0.005899429456591429,0.03458944277223085,0.05244975706401085,0.015496319316797784,0.0020525284691348153,0.000852378860200317,0.005369447883764021,0.011198526638981098,0.0113785539399311,0.0007651669269486077,0.001771106297770114,0.006094210468165376,0.006384581008337834,0.008385712631494667,0.00630980395461366,0.005448703415802661,0.004279412500767841,0.3951219512195122,2,Cluster C
chikwawa,0.039720273498353,0.02648947451630159,0.009583948675353355,0.003766999307959334,0.011721808003335584,0.004834595573366495,0.0007333074235261686,0.0006637299517311636,0.010715457446878187,0.0053777477564003005,0.009693389910976269,0.011105157151316996,0.006789800168760658,0.029900276889515354,0.0558312101139692,0.014270548578321053,0.0010356949179088338,0.0010786264701877143,0.003633994771292111,0.008046902611532868,0.007924196811667252,0.0007402326008826598,0.0019130720009758958,0.005440211521977175,0.005628664793972214,0.008976316371597053,0.008753755942826071,0.004368445113788403,0.0031881369883417984,0.39325842696629215,1,Cluster B
blantyre city,0.035965610340333035,0.024589741708290452,0.007777451770837043,0.004582321451256705,0.011621029185420868,0.00531135260746453,0.0009287020053668049,0.0006314632257694578,0.008234322972633441,0.00282356586677907,0.009555249473280547,0.013435109297622436,0.010189144496054629,0.04506139115624815,0.07023703010064088,0.01731770860267967,0.001278767773715874,0.0010946234318694038,0.003948400760856837,0.006946815463412485,0.01384545046036988,0.002464856550590636,0.0021821233963216116,0.005937409059406855,0.005903396310713182,0.008039091039794655,0.004801224368562045,0.007560532981447344,0.004359845230213724,0.38596491228070173,0,Cluster A
nsanje,0.04213457434690952,0.028306989349640387,0.007940714857686096,0.004080509348110701,0.014352876759711551,0.005162539471830047,0.001029921467266969,0.0007150881761134381,0.008839782028020913,0.00536391293970273,0.009466759973951874,0.010829554285828727,0.004432147758831005,0.03001289570888039,0.05454439336015111,0.012300087686140241,0.0011706148517926242,0.000682248134365675,0.004031401725440255,0.00805199660933469,0.008192294828174886,0.0007538282674206901,0.0019404962721577452,0.004198193948002853,0.005661591779009936,0.004337605832740403,0.004866332438156836,0.0037548563990843268,0.005492843939833077,0.38095238095238093,1,Cluster B
dedza,0.04180977393757125,0.028024186588880038,0.009081386731705965,0.0032026676742679563,0.014742643211902075,0.004002399546568396,0.001037098435564369,0.0004570139703344009,0.0109455958598347,0.005767150907849534,0.0084457949698199,0.013149904096497193,0.0061682219010683464,0.03734890409315895,0.06024215237897854,0.014345221635600031,0.0009037629573213951,0.0009317679089538872,0.0035516192056934625,0.009308140898747475,0.012170120783170663,0.0010680487434846335,0.0019589350647810843,0.005241712803121934,0.007121984460936792,0.0070610309152118805,0.005619181131642731,0.00440650462260796,0.005694553425552717,0.3717948717948718,2,Cluster C
chiradzulu,0.0449887321054015,0.028816156661541446,0.009486148283913125,0.003818501242175547,0.011447978958117054,0.005633253515991713,0.0009577914321314215,0.0004993920601944286,0.011085766480704208,0.004739703290356022,0.008162135745742007,0.01082216526933048,0.0073971858875294645,0.029040013980370646,0.059720639660944506,0.013626907533021504,0.0014403529797255628,0.0009197091902272061,0.003739513463312823,0.00653274732947257,0.008656258344157257,0.0007909403332161274,0.0018281495851389068,0.004274263557097005,0.006460541375128329,0.006837158171815945,0.005398850467003126,0.004531702040904157,0.0033081922155850188,0.3708609271523179,1,Cluster B
lilongwe,0.04646018807383203,0.03278395393761382,0.009917835466095577,0.004362022796784681,0.014760119737586473,0.005373930324078076,0.000989767587226671,0.0005717695570365355,0.010813910228462413,0.005887427166424696,0.012112014636135574,0.014042445864408414,0.005138212172392325,0.03390694466731016,0.06103909258697916,0.016209692582409636,0.001261538640132054,0.0012376008085097322,0.003905255615165184,0.008790562104960816,0.012168649891069175,0.0007200933422188948,0.002537209299636193,0.005997237119089627,0.007436674143264965,0.011494045336587915,0.006976830027889424,0.010716292323388377,0.004986048383858472,0.3563218390804598,2,Cluster C
lilongwe city,0.035452802261663904,0.022006551912196838,0.007525497974155983,0.0042886860080424685,0.014184499073733366,0.00534042952476948,0.0010714152157551664,0.0004313952691357129,0.013199977903051122,0.0037283141813877333,0.010591297259384012,0.0175304767918403,0.010399206479755478,0.038427001294484696,0.07032877118953709,0.01785386594192614,0.0007129958171447725,0.0009931509959326473,0.0029905682546686164,0.007327428346859017,0.01634550583534342,0.0024072063478754054,0.0022792083024375342,0.0047568289770024575,0.0068935536964336245,0.010347335186036515,0.006605824245645709,0.006215839724461918,0.004381081459718338,0.3524590163934426,0,Cluster A
mulanje,0.042269628830846125,0.02672510790560427,0.007259529866847223,0.004074353059251984,0.013415630030864444,0.004782589556601724,0.0010070573781143745,0.0006869883181709178,0.009721844514371726,0.005775710070483108,0.01018683680793993,0.0151781274403831,0.006623226047203042,0.04086043121003483,0.05767019142980529,0.015554129469365357,0.0013923987721046424,0.0013050055109191986,0.003479125490457767,0.0075729436376320266,0.012771166188227524,0.0008993791952851687,0.0019173356631054606,0.004737050246521508,0.005953199283959934,0.016075257677335385,0.006426483543893383,0.005982745262520386,0.008893241512842327,0.3522727272727273,0,Cluster A
mangochi,0.04411658430455753,0.032841416076516174,0.005603587772641988,0.004142262962944331,0.01847890147647875,0.0044616055181678094,0.001000553545361992,0.0007623645605656231,0.009571888969297096,0.006930567897367798,0.011373338393819743,0.012908267185950936,0.004001591086793378,0.03461677226493015,0.06291688377813667,0.015950155775366,0.0014393414089724232,0.0013368775504135465,0.0037629337580277716,0.009133343204139463,0.012046996056750645,0.001049896075868169,0.001737312548274418,0.0055113119648644675,0.0056279952289040374,0.023220656948248687,0.006979308636211714,0.006307079786949261,0.014204146782461569,0.3515981735159817,2,Cluster C
